Rank,points,Views,Likes,Comments,Title,VideoID,PublishDate,categoryId,Thumbnail,Link,Region
1,93.6,35109669,189055,12597,Nassif Zeytoun & Abu Ward – Kazdoura | ناصيف زيتون و أبو ورد – كزدورة,Cs6i13GIyo8,2025-12-15,10,https://i.ytimg.com/vi/Cs6i13GIyo8/hqdefault.jpg,https://www.youtube.com/watch?v=Cs6i13GIyo8,MENA
2,48.7,15732610,93592,3030,Adam – Kaza Shakhsiyeh | آدم – كذا شخصية,9NK2oq0oA7g,2025-12-12,10,https://i.ytimg.com/vi/9NK2oq0oA7g/hqdefault.jpg,https://www.youtube.com/watch?v=9NK2oq0oA7g,MENA
3,35.6,10367394,33102,934,Nawar Al Hasan – Khasa | نوار الحسن – خسا,3NSM32rWdhU,2025-11-29,10,https://i.ytimg.com/vi/3NSM32rWdhU/hqdefault.jpg,https://www.youtube.com/watch?v=3NSM32rWdhU,MENA
4,35.2,9646110,52312,2361,Majid Al Mohandis – Khalow | ماجد المهندس – خلّوه,uTTsZSjIMxI,2025-12-11,10,https://i.ytimg.com/vi/uTTsZSjIMxI/hqdefault.jpg,https://www.youtube.com/watch?v=uTTsZSjIMxI,MENA
5,36.3,9210463,79739,5481,Rahma Riad – Mutar | رحمة رياض – مطر,pguwUY9-sVo,2025-11-27,10,https://i.ytimg.com/vi/pguwUY9-sVo/hqdefault.jpg,https://www.youtube.com/watch?v=pguwUY9-sVo,MENA
6,33.5,8262269,19481,7318,Nancy Ajram – Sidi Ya Sidi | نانسي عجرم – سيدي يا سيدي,DxrUzKmwI8I,2025-12-11,10,https://i.ytimg.com/vi/DxrUzKmwI8I/hqdefault.jpg,https://www.youtube.com/watch?v=DxrUzKmwI8I,MENA
7,33.2,6965549,75428,9237,Fouad Jned – Meen Yedri Bhali | فؤاد جنيد – مين يدري بحالي,-LHB1oiq1lQ,2025-12-10,10,https://i.ytimg.com/vi/-LHB1oiq1lQ/hqdefault.jpg,https://www.youtube.com/watch?v=-LHB1oiq1lQ,MENA
8,27.4,6717008,43754,433,Majid Al Mohandis – Ya Weel Haly | ماجد المهندس – يا ويل حالي,kNUPo8fJU7g,2025-11-22,10,https://i.ytimg.com/vi/kNUPo8fJU7g/hqdefault.jpg,https://www.youtube.com/watch?v=kNUPo8fJU7g,MENA
9,25.1,5523202,41538,648,Assi El Hallani – Kouni El Amar | عاصي الحلاني – كوني القمر,CsKQwLmUIlU,2025-12-09,10,https://i.ytimg.com/vi/CsKQwLmUIlU/hqdefault.jpg,https://www.youtube.com/watch?v=CsKQwLmUIlU,MENA
10,25,5011355,20819,2096,Haifa Wehbe – Super Woman | هيفاء وهبي – سوبر وومان,VYu4x5Dz49M,2025-12-15,10,https://i.ytimg.com/vi/VYu4x5Dz49M/hqdefault.jpg,https://www.youtube.com/watch?v=VYu4x5Dz49M,MENA
