Rank,points,Views,Likes,Comments,Title,VideoID,PublishDate,categoryId,Thumbnail,Link,Region
1,34.8,34324748,427459,83603,Bessan Ismail - Najma | بيسان اسماعيل - نجمة,9loVIHzN2aQ,2025-12-26,10,https://i.ytimg.com/vi/9loVIHzN2aQ/hqdefault.jpg,https://www.youtube.com/watch?v=9loVIHzN2aQ,MENA
2,13.8,13726317,70158,4295,Haifa Wehbe - Badna Nroue | هيفاء وهبي - بدنا نروق,OQOg2eSMtQM,2025-12-29,10,https://i.ytimg.com/vi/OQOg2eSMtQM/hqdefault.jpg,https://www.youtube.com/watch?v=OQOg2eSMtQM,MENA
3,13.6,13473359,150791,1079,Angham - El Hob Hala | أنغام - الحب حاله,GnoblIDw9Os,2026-01-09,10,https://i.ytimg.com/vi/GnoblIDw9Os/hqdefault.jpg,https://www.youtube.com/watch?v=GnoblIDw9Os,MENA
4,9.4,9384629,33389,1608,Saad Lamjarred x Inkonnu x Atif Zinachi - TIME FOR AFRICA,A8iLNJ8NYFU,2025-12-31,10,https://i.ytimg.com/vi/A8iLNJ8NYFU/hqdefault.jpg,https://www.youtube.com/watch?v=A8iLNJ8NYFU,MENA
5,9,8915013,91967,4515,Hatim Ammor x Salma Rachid x Fnaire - L'Maghribya,uLlbK0jlHwE,2025-12-22,10,https://i.ytimg.com/vi/uLlbK0jlHwE/hqdefault.jpg,https://www.youtube.com/watch?v=uLlbK0jlHwE,MENA
6,7,6875573,84282,2721,Hatim Ammor x Salma Rachid x Fnaire - L'Maghribya | حاتم عمور x سلمى رشيد x فناير — L'Maghribya,Jx1WCgUH150,2025-12-23,10,https://i.ytimg.com/vi/Jx1WCgUH150/hqdefault.jpg,https://www.youtube.com/watch?v=Jx1WCgUH150,MENA
7,6.7,6616581,32532,1295,Anas Abu Sneineh - Leih Laa | انس ابو سنينة - ليه لا,LUmICjng90I,2025-12-30,10,https://i.ytimg.com/vi/LUmICjng90I/hqdefault.jpg,https://www.youtube.com/watch?v=LUmICjng90I,MENA
7,6.7,6576600,126459,36364,Al Shami x PUBG MOBILE - Wayli | الشامي وببجي موبايل - ويلي,tPDCyqws4Ck,2026-01-16,10,https://i.ytimg.com/vi/tPDCyqws4Ck/hqdefault.jpg,https://www.youtube.com/watch?v=tPDCyqws4Ck,MENA
9,5.2,5139101,77247,1241,DYSTINCT - TA3AL | ديستانكت - تعال,4R5zsoxjARk,2026-01-16,10,https://i.ytimg.com/vi/4R5zsoxjARk/hqdefault.jpg,https://www.youtube.com/watch?v=4R5zsoxjARk,MENA
10,4.5,4474319,55908,3611,Amjad Jomaa ft. Noel Kharman - Khawa | أمجد جمعة مع نويل خرمان - خاوة,GxeNYJoygLA,2026-01-13,10,https://i.ytimg.com/vi/GxeNYJoygLA/hqdefault.jpg,https://www.youtube.com/watch?v=GxeNYJoygLA,MENA
