Rank,points,Views,Likes,Comments,Title,VideoID,PublishDate,categoryId,Thumbnail,Link,Region
1,132.3,132277839,25450,2023,Amr Diab - Naqsaak El Qaada | عمرو دياب - نقصاك القعدة,AaYoFXfnkOQ,2026-02-19,10,https://i.ytimg.com/vi/AaYoFXfnkOQ/mqdefault.jpg,https://www.youtube.com/watch?v=AaYoFXfnkOQ,MENA
2,110.5,110319637,185933,2001,Mahmoud El Esseily & Bahaa Sultan - Hafdal Kol Marra Agelek | محمود العسيلي و بهاء سلطان - هفضل كل مرة اجيلك,wh58wI-M_kQ,2026-02-13,10,https://i.ytimg.com/vi/wh58wI-M_kQ/mqdefault.jpg,https://www.youtube.com/watch?v=wh58wI-M_kQ,MENA
3,98.0,97908111,87722,1874,Tamer Hosny & Saint Levant - Men Alby | تامر حسني و Saint Levant - من قلبي,dtqXLsFljn8,2026-02-19,10,https://i.ytimg.com/vi/dtqXLsFljn8/mqdefault.jpg,https://www.youtube.com/watch?v=dtqXLsFljn8,MENA
4,64.2,64046414,97065,9689,Mohamed Mounir - Ya Wahashny | محمد منير - يا واحشني,n5GyBeDKE_A,2026-02-18,10,https://i.ytimg.com/vi/n5GyBeDKE_A/mqdefault.jpg,https://www.youtube.com/watch?v=n5GyBeDKE_A,MENA
5,52.6,52611888,22881,1713,Elissa - Kol Youm Ahlā Youm | إليسا - كل يوم أحلي يوم,GhoU4KFtl0k,2026-02-19,10,https://i.ytimg.com/vi/GhoU4KFtl0k/mqdefault.jpg,https://www.youtube.com/watch?v=GhoU4KFtl0k,MENA
6,46.6,46579186,11728,411,Tamer Hosny - Dayman Saned Ala Ahly | تامر حسني - دايمًا ساند على أهلي,igMsgbnLmGI,2026-02-19,10,https://i.ytimg.com/vi/igMsgbnLmGI/mqdefault.jpg,https://www.youtube.com/watch?v=igMsgbnLmGI,MENA
7,29.9,29934722,872,71,Rashed Al Majed - Khoth Khatwa | راشد الماجد - خذ خطوة,2SF5b6-mlNc,2026-02-17,10,https://i.ytimg.com/vi/2SF5b6-mlNc/mqdefault.jpg,https://www.youtube.com/watch?v=2SF5b6-mlNc,MENA
8,9.6,9586834,1951,213,Ruby - Ana El Arousa | روبي - انا العروسة,zLBthdi1usA,2026-02-19,10,https://i.ytimg.com/vi/zLBthdi1usA/mqdefault.jpg,https://www.youtube.com/watch?v=zLBthdi1usA,MENA
9,9.3,9283854,8310,209,Amr Diab - Aktar w Aktar | عمرو دياب - اكتر و اكتر,ScidsRdP2Ws,2026-02-19,10,https://i.ytimg.com/vi/ScidsRdP2Ws/mqdefault.jpg,https://www.youtube.com/watch?v=ScidsRdP2Ws,MENA
10,5.3,5278038,6879,583,Mohamed Chaker - El Donya Bekheir | محمد شاكر - الدنيا بخير,8l7eCqK8WKI,2026-02-18,10,https://i.ytimg.com/vi/8l7eCqK8WKI/mqdefault.jpg,https://www.youtube.com/watch?v=8l7eCqK8WKI,MENA
